,InstrumentID,days,InstrumentDisplayName,Symbol
149,1155,66.0,Alibaba,BABA
150,1200,33.0,Siemens Aktiengesellschaft,SIE
151,1201,53.0,BASF SE,BAS
152,1202,33.0,SAP AG,SAP
153,1203,34.0,Bayer AG,BAYN
154,1204,31.0,Allianz SE,ALV
155,1205,40.0,E.ON SE,EOAN
156,1206,33.0,Daimler AG,DAI
157,1207,32.0,Deutsche Telekom AG,DTE
158,1209,61.0,Linde Aktiengesellschaft,LNA
159,1210,51.0,Volkswagen AG,VOW3
160,1211,64.0,Bayerische Motoren Werke Aktiengesellschaft,BMW
161,1212,46.0,Muenchener Rueckvrschrng Gslchft AG Mnch,MUV2
162,1213,32.0,RWE AG,RWE
163,1214,20.0,Fresenius Medical Care AG & Co. KGAA,FME
164,1215,37.0,Adidas AG,ADS
165,1216,34.0,Deutsche Post AG,DPW
166,1217,21.0,Fresenius SE & Co KGaA,FRE
167,1218,18.0,Henkel AG & Co. KGaA,HEN3
168,1219,18.0,Deutsche Boerse AG,DB1
169,1220,40.0,ThyssenKrupp AG,TKA
170,1221,28.0,Infineon Technologies AG,IFX
171,1222,27.0,K+S Aktiengesellschaft,SDF
172,1225,8.0,Beiersdorf AG,BEI
173,1226,23.0,HeidelbergCement AG,HEI.DE
174,1227,46.0,Deutsche Lufthansa Aktiengesellschaft,LHA
175,1228,34.0,Continental AG,CON
176,1230,19.0,Hugo Boss AG,BOSSd
177,1231,16.0,Accor S.A.,AC
178,1232,11.0,Credit Agricole S.A.,ACA
179,1233,11.0,Air Liquide SA,AI
180,1234,24.0,AIRBUS GROUP,AIR
181,1235,12.0,Alstom SA,ALO
182,1236,7.0,Alcatel-Lucent,ALU
183,1237,10.0,Danone,BN
184,1238,9.0,BNP Paribas SA,BNP
185,1239,17.0,Carrefour SA,CA
186,1240,22.0,Cap Gemini S.A.,CAP
187,1241,17.0,AXA Group,CS
188,1242,12.0,Vinci S.A,DG
189,1243,15.0,Electricite de France SA,EDF
190,1244,10.0,Essilor International SA,EL
191,1245,12.0,Bouygues SA,EN
192,1246,47.0,TOTAL S.A.,FP
193,1247,8.0,Valeo SA,FR
194,1248,10.0,Societe Generale Group,GLE
195,1249,18.0,Engie SA,ENGI
196,1250,4.0,Kering SA,KER
197,1251,11.0,Lafarge S.A.,LG
198,1252,10.0,Legrand SA,LR
199,1253,12.0,LVMH Moet Hennessy Louis Vuitton SA,MC
200,1254,10.0,Compagnie Generale DES Etablissements Michelin SCA,ML
201,1255,40.0,ArcelorMittal,MTS
202,1256,6.0,LOreal SA,OR
203,1257,48.0,Orange,ORA
204,1258,51.0,PUB,PUB
205,1259,24.0,Pernod-Ricard SA,RI
206,1260,6.0,Renault ,RNO
207,1261,16.0,SAF,SAF
208,1262,19.0,Sanofi,SAN
209,1263,13.0,Compagnie de Saint-Gobain S.A.,SGO
210,1264,11.0,SOLVAY,SOLB
211,1265,3.0,Schneider Electric SE,SU
212,1266,10.0,Technip SA,TEC
213,1267,11.0,Peugeot S.A.,UG
214,1268,12.0,Unibail Rodamco,UL
215,1269,21.0,Veolia Environnement S.A.,VIE
216,1270,23.0,Vivendi,VIV.PA
217,1271,6.0,A2A Group,A2A
218,1272,7.0,Autogrill,AGL
219,1273,2.0,Atlantia Develops,ATL
220,1274,6.0,Azimut Holding,AZM
221,1275,7.0,Montepaschi Banking Groups,BMPS
222,1276,1.0,Banco Popolare SC,BP
223,1277,3.0,BPER Banca,BPE
224,1279,8.0,CNH Industrial Group,CNHI
225,1280,8.0,Davide Campari - Milano Beverage,CPR
226,1281,11.0,Enel Group company,EGPW
227,1282,6.0,Enel Power Company,ENEL
228,1283,7.0,Eni Energy Company,ENI
