InstrumentID,InstrumentDisplayName,Exchange,Symbol,ISINCode,ISINCountryCode,
94,White Sugar Contract,Commodity,WhiteSugar,,,
96,Cocoa Future Contract,Commodity,COCOA,,,
97,Wheat Future Contract,Commodity,WHEAT,,,
98,Cotton No.7,Commodity,CottonNo7,,,
99,Aluminum Future Contract,Commodity,ALUMINUM,,,
100,Nickel Future Contract,Commodity,NICKEL,,,
101,Russell 2000,CFD,US2000,,,
102,Belgium 20,CFD,BFX,,,
103,Netherlands 25 ,CFD,AEX25,,,
104,Euro/Ruble,FX,EURRUB,,,
105,Euro/CNH,FX,EURCNH,,,
106,USDKRW,FX,USDKRW,,,
107,USDBRL,FX,USDBRL,,,
108,Crude OIL M1,Commodity,Crude OIL M1,,,
109,Crude OIL M2,Commodity,Crude OIL M2,,,
111,USD Saudi Riyal,FX,USDSAR,,,
600,Etorian,FX,ETORIAN,,,
601,ETORIAN601,FX,ETORIAN601,,,
602,ETORIAN602,FX,ETORIAN602,,,
603,ETORIAN603,FX,ETORIAN603,,,
604,ETORIAN604,FX,ETORIAN604,,,
605,ETORIAN605,FX,ETORIAN605,,,
606,ETORIAN606,FX,ETORIAN606,,,
607,ETORIAN607,FX,ETORIAN607,,,
608,ETORIAN608,FX,ETORIAN608,,,
609,ETORIAN609,FX,ETORIAN609,,,
610,ETORIAN610,FX,ETORIAN610,,,
666,Great Britain, Penny,FX,GBX,,
1001,Apple,Nasdaq,AAPL,US0378331005,US,
1002,Alphabet,Nasdaq,GOOG,US02079K1079,US,
1003,Facebook,Nasdaq,FB,US30303M1027,US,
1004,Microsoft,Nasdaq,MSFT,US5949181045,US,
1005,Amazon,Nasdaq,AMZN,US0231351067,US,
1006,Altaba Inc,Nasdaq,AABA,US0213461017,US,
1007,Zynga,Nasdaq,ZNGA,US98986T1088,US,
1008,Alcoa,NYSE,AA,US0138721065,US,
1009,American Express CO,NYSE,AXP,US0258161092,US,
1010,Boeing,NYSE,BA,US0970231058,US,
1011,Bank of America Corp,NYSE,BAC,US0605051046,US,
1012,Caterpillar,NYSE,CAT,US1491231015,US,
1013,Cisco,Nasdaq,CSCO,US17275R1023,US,
1014,Chevron,NYSE,CVX,US1667641005,US,
1015,Du-Pont,NYSE,DDOld,US2635341090,US,
1016,Walt Disney,NYSE,DIS,US2546871060,US,
1017,General Electric Co,NYSE,GE,US3696041033,US,
1018,Home Depot Inc,NYSE,HD,US4370761029,US,
1019,Hewlett Packard,NYSE,HPQ,US40434L1052,US,
1020,IBM,NYSE,IBM,US4592001014,US,
1021,Intel,Nasdaq,INTC,US4581401001,US,
1022,Johnson & Johnson,NYSE,JNJ,US4781601046,US,
1023,JPMorgan Chase & Co,NYSE,JPM,US46625H1005,US,
1024,Coca-Cola,NYSE,KO,US1912161007,US,
1025,McDonalds,NYSE,MCD,US5801351017,US,
1026,3M,NYSE,MMM,US88579Y1010,US,
1027,Merck,NYSE,MRK,US58933Y1055,US,
1028,Pfizer,NYSE,PFE,US7170811035,US,
1029,Procter & Gamble Co,NYSE,PG,US7427181091,US,
1030,AT&T Inc,NYSE,T,US00206R1023,US,
1031,Travelers,NYSE,TRV,US89417E1091,US,
1032,UnitedHealth,NYSE,UNH,US91324P1021,US,
1033,United-Technologies,NYSE,UTX,US9130171096,US,
1034,Verizon,NYSE,VZ,US92343V1044,US,
1035,Wal-Mart,NYSE,WMT,US9311421039,US,
1036,Exxon-Mobil,NYSE,XOM,US30231G1022,US,
1037,Citigroup,NYSE,C,US1729674242,US,
1038,Honda,NYSE,HMC,US4381283088,US,
1039,HSBC,NYSE,HSBC,US4042804066,US,
1040,Manchester United,NYSE,MANU,KYG5784H1065,US,
1041,Mastercard,NYSE,MA,US57636Q1040,US,
1042,NIKE,NYSE,NKE,US6541061031,US,
1043,PepsiCo,Nasdaq,PEP,US7134481081,US,
1044,Sony,NYSE,SNE,US8356993076,US,
1045,Toyota,NYSE,TM,US8923313071,US,
1046,Visa,NYSE,V,US92826C8394,US,
1047,Vodafone,Nasdaq,VOD,US92857W3088,US,
1048,Time-Warner,NYSE,TWX,US8873173038,US,
1049,Deutsche-Bank,NYSE,DB,DE0005140008,US,
1050,Colgate-Palmolive,NYSE,CL,US1941621039,US,
1051,eBay,Nasdaq,EBAY,US2786421030,US,
1052,Siemens,NYSE,SI,US8261975010,US,
1053,Yandex NV,Nasdaq,YNDX,NL0009805522,US,
1054,Qiwi Plc,Nasdaq,QIWI,US74735M1080,US,
1055,China Mobile Limited,NYSE,CHL,US16941M1099,US,
1056,Renren Inc.,NYSE,RENN,US7598922018,US,
1100,Telecom Argentina SA,NYSE,TEO,US8792732096,US,
1101,Ternium SA,NYSE,TX,US8808901081,US,
1102,Petroleo Brasileiro SA Petrobras,NYSE,PBR,US71654V4086,US,
1103,Vale SA,NYSE,VALE,US91912E1055,US,
1104,Banco Santander SA (US),NYSE,SAN,US05964H1059,US,
1105,Telefonica SA (US),NYSE,TEF,US8793822086,US,
1106,America Movil, S.A.B. de C.V.,NYSE,AMX,US02364W1053,US
1107,Cemex, S.A.B. de C.V.,NYSE,CX,US1512908898,US
1108,Directv,NASDAQ,DTV,US25490A3095,US,
1109,Grupo Televisa, S.A.B.,NYSE,TV,US40049J2069,US
1110,SanDisk Corp,NASDAQ,SNDK,US80004C1018,US,
1111,Tesla Motors, Inc.,NASDAQ,TSLA,US88160R1014,US
1112,Ford Motor Co,NYSE,F,US3453708600,US,
1113,Las Vegas Sands Corp,NYSE,LVS,US5178341070,US,
1114,LinkedIn Corp,NYSE,LNKD,US53578A1088,US,
1115,Nokia Oyj,NYSE,NOK,US6549022043,US,
1116,Potash Corporation of Saskatchewan,NYSE,POT,CA73755L1076,US,
1117,First Solar, Inc.,NASDAQ,FSLR,US3364331070,US
1118,Berkshire Hathaway Inc,NYSE,BRK.B,US0846707026,US,
1119,Western Union Company,NYSE,WU,US9598021098,US,
1120,Gap, Inc.,NYSE,GPS,US3647601083,US
1121,Ralph Lauren Corp,NYSE,RL,US7512121010,US,
1122,Harley-Davidson Inc,NYSE,HOG,US4128221086,US,
1123,TripAdvisor Inc,NASDAQ,TRIP,US8969452015,US,
