StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
1866,0.890804598,0.028735632,0.005747126,0.005747126,0.068965517,0
1867,0,0.833333333,0,0.111111111,0.055555556,0
1868,0.196736174,0.563916591,0.009972801,0.011332729,0.217588395,0.000453309
1870,0.54137931,0.213793103,0.027586207,0.017241379,0.2,0
1872,0.8,0.1,0,0,0.1,0
1873,0.945273632,0.034825871,0,0,0.019900498,0
1874,1,0,0,0,0,0
1875,0.834586466,0.15037594,0.015037594,0,0,0
1876,0.310810811,0.527027027,0,0.013513514,0.148648649,0
1878,0.692307692,0.230769231,0.076923077,0,0,0
1879,0.573809524,0.114285714,0.014285714,0.104761905,0.19047619,0.002380952
1881,0.31875,0.425,0.01875,0.00625,0.23125,0
1882,0.819548872,0.067669173,0.015037594,0,0.090225564,0.007518797
1883,0.851258581,0.077803204,0.00228833,0.006864989,0.061784897,0
1884,0.987583572,0.007640879,0,0.00095511,0.003820439,0
1885,0.509635974,0.26124197,0.014989293,0.015792291,0.197537473,0.000802998
1886,0.206028369,0.519148936,0.009929078,0.004964539,0.259574468,0.00035461
1888,0.415706052,0.384005764,0.014409222,0.005043228,0.179394813,0.001440922
1890,0.547619048,0.164285714,0.023809524,0.011904762,0.25,0.002380952
1891,0.565656566,0.202020202,0.02020202,0,0.212121212,0
1892,0.466829268,0.224878049,0.007804878,0.012682927,0.287804878,0
1895,0.646341463,0.280487805,0.012195122,0.036585366,0.024390244,0
1896,0.818181818,0,0.090909091,0,0.090909091,0
1897,0.386554622,0.25210084,0.344537815,0.008403361,0.008403361,0
1898,0.600461894,0.148960739,0.019630485,0.01039261,0.219399538,0.001154734
1900,0.5,0.5,0,0,0,0
1901,0.452405418,0.245025689,0.007286315,0.007659972,0.287248949,0.000373657
1902,0.608695652,0.217391304,0.043478261,0,0.130434783,0
1903,0.615384615,0.307692308,0,0,0.076923077,0
1905,0.378640777,0.32038835,0.014563107,0.053398058,0.233009709,0
1906,0.412692156,0.309617659,0.019314151,0.017934568,0.239258967,0.001182499
1909,0.573705179,0.247808765,0.01752988,0.007171315,0.152988048,0.000796813
1910,0.62962963,0.251322751,0.010582011,0.005291005,0.103174603,0
1911,0.444444444,0.444444444,0,0,0.111111111,0
1913,0.533333333,0.266666667,0.066666667,0,0.133333333,0
